,text,sentence,word,wordFreq,zipfFreq,surpGPT,word_length,wordId
4329,text_12_L1,6,Ratschläge,6.46e-06,3.81,1.0029417276382446,10,127
4330,text_12_L1,6,bereitstellt,9.33e-07,2.97,4.305450439453125,12,128
4331,text_12_L1,6,und,0.0263,7.42,0.25488659739494324,3,129
4332,text_12_L1,6,Kooperationen,3.98e-06,3.6,4.760379791259766,13,130
4333,text_12_L1,6,aufbaut.,3.02e-06,3.48,3.7503409385681152,8,131
4334,text_12_L1,7,Die,0.0302,7.48,2.742405414581299,3,132
4335,text_12_L1,7,Organisation,6.03e-05,4.78,7.774937152862549,12,133
4336,text_12_L1,7,ist,0.012,7.08,3.595863103866577,3,134
4337,text_12_L1,7,der,0.0288,7.46,4.191606044769287,3,135
4338,text_12_L1,7,breiten,2.34e-05,4.37,0.011082286946475506,7,136
4339,text_12_L1,7,Öffentlichkeit,4.9e-05,4.69,0.0062970323488116264,14,137
4340,text_12_L1,7,am,0.00288,6.46,0.009672206826508045,2,138
4341,text_12_L1,7,besten,0.000234,5.37,8.814414978027344,6,139
4342,text_12_L1,7,"bekannt,",0.000182,5.26,3.855884552001953,8,140
4343,text_12_L1,7,weil,0.000891,5.95,5.146612644195557,4,141
4344,text_12_L1,7,sie,0.00661,6.82,0.9458602070808411,3,142
4345,text_12_L1,7,die,0.0302,7.48,1.264129638671875,3,143
4346,text_12_L1,7,"""Rote",4.47e-05,4.65,10.547542572021484,5,144
4347,text_12_L1,7,Liste,9.12e-05,4.96,1.5980476140975952,5,145
4348,text_12_L1,7,der,0.0288,7.46,1.6933677196502686,3,146
4349,text_12_L1,7,bedrohten,2.82e-06,3.45,0.5424641370773315,9,147
4350,text_12_L1,7,"Arten""",5.13e-05,4.71,1.5169172286987305,6,148
4351,text_12_L1,7,erstellt,3.24e-05,4.51,4.293615341186523,8,149
4352,text_12_L1,7,und,0.0263,7.42,1.330312728881836,3,150
4353,text_12_L1,7,"veröffentlicht,",8.32e-05,4.92,5.230730056762695,15,151
4354,text_12_L1,7,in,0.0174,7.24,1.6930575370788574,2,152
4355,text_12_L1,7,der,0.0288,7.46,0.17945517599582672,3,153
4356,text_12_L1,7,der,0.0288,7.46,4.498867988586426,3,154
4357,text_12_L1,7,Erhaltungszustand,4.57e-07,2.66,3.703690528869629,17,155
4358,text_12_L1,7,von,0.00977,6.99,0.5384805798530579,3,156
4359,text_12_L1,7,Arten,5.13e-05,4.71,0.003983539994806051,5,157
4360,text_12_L1,7,weltweit,6.03e-05,4.78,1.2138339281082153,8,158
4361,text_12_L1,7,bewertet,1.95e-05,4.29,0.3030833303928375,8,159
4362,text_12_L1,7,wird.,0.00316,6.5,0.15472309291362762,5,160
4363,text_12_L1,8,Heute,0.000759,5.88,6.210489749908447,5,161
4364,text_12_L1,8,beschäftigt,6.31e-05,4.8,8.02336311340332,11,162
4365,text_12_L1,8,die,0.0302,7.48,2.1062941551208496,3,163
4366,text_12_L1,8,Organisation,6.03e-05,4.78,7.562276840209961,12,164
4367,text_12_L1,8,rund,0.000186,5.27,2.2944834232330322,4,165
4368,text_12_L1,8,tausend,3.09e-05,4.49,7.5620269775390625,7,166
4369,text_12_L1,8,Vollzeitmitarbeiter,2.4e-08,1.38,8.060747146606445,19,167
4370,text_12_L1,8,in,0.0174,7.24,1.5314091444015503,2,168
4371,text_12_L1,8,über,0.00245,6.39,2.284599781036377,4,169
4372,text_12_L1,8,fünfzig,5.01e-06,3.7,2.891007900238037,7,170
4373,text_12_L1,8,Ländern.,8.13e-05,4.91,0.275492399930954,8,171
4374,text_12_L1,1,Die,0.0302,7.48,2.742405414581299,3,1
4375,text_12_L1,1,Internationale,5.13e-05,4.71,7.769895553588867,14,2
4376,text_12_L1,1,Union,6.76e-05,4.83,5.870944023132324,5,3
4377,text_12_L1,1,für,0.00759,6.88,0.7193201184272766,3,4
4378,text_12_L1,1,Naturschutz,8.32e-06,3.92,6.650824069976807,11,5
4379,text_12_L1,1,ist,0.012,7.08,4.5677080154418945,3,6
4380,text_12_L1,1,eine,0.00631,6.8,1.0104844570159912,4,7
4381,text_12_L1,1,internationale,5.13e-05,4.71,1.359755039215088,14,8
4382,text_12_L1,1,"Organisation,",6.03e-05,4.78,2.7247674465179443,13,9
4383,text_12_L1,1,die,0.0302,7.48,0.6928809285163879,3,10
4384,text_12_L1,1,auf,0.00776,6.89,0.20684398710727692,3,11
4385,text_12_L1,1,dem,0.00575,6.76,3.964062213897705,3,12
4386,text_12_L1,1,Gebiet,6.61e-05,4.82,2.3968355655670166,6,13
4387,text_12_L1,1,des,0.0055,6.74,0.836720883846283,3,14
4388,text_12_L1,1,Naturschutzes,5.89e-07,2.77,0.26682248711586,13,15
4389,text_12_L1,1,und,0.0263,7.42,0.2546268403530121,3,16
4390,text_12_L1,1,der,0.0288,7.46,0.11588720977306366,3,17
4391,text_12_L1,1,nachhaltigen,4.17e-06,3.62,1.6864614486694336,12,18
4392,text_12_L1,1,Nutzung,3.89e-05,4.59,0.11559004336595535,7,19
4393,text_12_L1,1,natürlicher,5.37e-06,3.73,4.2199197196168825e-05,11,20
4394,text_12_L1,1,Ressourcen,1.74e-05,4.24,9.405170567333698e-05,10,21
4395,text_12_L1,1,tätig,3.89e-05,4.59,0.00016091958968900144,5,22
4396,text_12_L1,1,ist.,0.012,7.08,0.011467848904430866,4,23
4397,text_12_L1,2,Sie,0.00661,6.82,4.456000804901123,3,24
4398,text_12_L1,2,ist,0.012,7.08,4.178248405456543,3,25
4399,text_12_L1,2,an,0.0049,6.69,6.401703834533691,2,26
4400,text_12_L1,2,der,0.0288,7.46,1.7146625518798828,3,27
4401,text_12_L1,2,Datenerfassung,5.62e-07,2.75,14.309815406799316,14,28
4402,text_12_L1,2,und,0.0263,7.42,0.00019905969384126365,3,29
4403,text_12_L1,2,"-analyse,",4.07e-05,4.61,6.2918291091918945,9,30
4404,text_12_L1,2,"Forschung,",5.01e-05,4.7,9.603569030761719,10,31
4405,text_12_L1,2,"Feldprojekten,",0.0,0.0,18.056289672851562,14,32
4406,text_12_L1,2,Einflussnahme,3.24e-06,3.51,12.01301097869873,13,33
4407,text_12_L1,2,und,0.0263,7.42,0.8777397871017456,3,34
4408,text_12_L1,2,Wissensvermittlung,5.75e-07,2.76,6.695507526397705,18,35
4409,text_12_L1,2,beteiligt.,4.07e-05,4.61,0.9577491283416748,10,36
4410,text_12_L1,3,Ihre,0.00115,6.06,6.683041095733643,4,37
